image,resolution,version,run_id,time_ms
agriculture3.jpg,640x480,manual,11,1.6004
agriculture3.jpg,640x480,manual,12,1.6013
agriculture3.jpg,640x480,manual,13,1.6005
agriculture3.jpg,640x480,manual,14,1.5968
agriculture3.jpg,640x480,manual,15,1.613
agriculture3.jpg,640x480,manual,16,1.6797
agriculture3.jpg,640x480,manual,17,1.6153
agriculture3.jpg,640x480,manual,18,1.599
agriculture3.jpg,640x480,manual,19,1.5986
agriculture3.jpg,640x480,manual,20,1.5993
agriculture3.jpg,640x480,manual,21,1.5969
agriculture3.jpg,640x480,manual,22,1.6023
agriculture3.jpg,640x480,manual,23,1.6005
agriculture3.jpg,640x480,manual,24,1.5978
agriculture3.jpg,640x480,manual,25,1.6139
agriculture3.jpg,640x480,manual,26,1.669
agriculture3.jpg,640x480,manual,27,1.605
agriculture3.jpg,640x480,manual,28,1.5974
agriculture3.jpg,640x480,manual,29,1.6003
agriculture3.jpg,640x480,manual,30,1.5999
agriculture3.jpg,640x480,opencv,1,1.909
agriculture3.jpg,640x480,opencv,2,2.0329
agriculture3.jpg,640x480,opencv,3,2.0084
agriculture3.jpg,640x480,opencv,4,2.0787
agriculture3.jpg,640x480,opencv,5,2.0549
agriculture3.jpg,640x480,opencv,6,1.9879
agriculture3.jpg,640x480,opencv,7,2.0301
agriculture3.jpg,640x480,opencv,8,2.0711
agriculture3.jpg,640x480,opencv,9,2.0105
agriculture3.jpg,640x480,opencv,10,1.9613
agriculture3.jpg,640x480,opencv,11,1.9925
agriculture3.jpg,640x480,opencv,12,2.0085
agriculture3.jpg,640x480,opencv,13,1.9591
agriculture3.jpg,640x480,opencv,14,1.9435
agriculture3.jpg,640x480,opencv,15,2.0097
agriculture3.jpg,640x480,opencv,16,1.9986
agriculture3.jpg,640x480,opencv,17,1.9955
agriculture3.jpg,640x480,opencv,18,1.9696
agriculture3.jpg,640x480,opencv,19,1.9257
agriculture3.jpg,640x480,opencv,20,2.0353
agriculture3.jpg,640x480,opencv,21,1.9442
agriculture3.jpg,640x480,opencv,22,1.9842
agriculture3.jpg,640x480,opencv,23,2.0015
